time,gyro_roll,inter_time,inter_gyro_roll
36.22,24.31,5.48,3.78E+02
36.32,51.47,5.49,3.74E+02
36.42,17.23,5.5,3.74E+02
36.42,17.23,5.51,3.74E+02
36.43,17.23,5.52,3.74E+02
36.43,17.23,5.53,3.74E+02
36.52,0.81,5.54,3.74E+02
36.62,16.37,5.55,3.71E+02
36.72,40.18,5.56,3.65E+02
36.74,40.18,5.57,3.57E+02
36.82,23.33,5.58,3.51E+02
36.92,10.09,5.59,3.48E+02
37.02,-1.08,5.6,3.52E+02
37.06,-1.08,5.61,3.65E+02
37.12,-3.59,5.62,3.83E+02
37.22,1.36,5.63,4.07E+02
37.32,4.53,5.64,4.33E+02
37.38,4.53,5.65,4.61E+02
37.42,-6.33,5.66,4.90E+02
37.43,-6.33,5.67,5.17E+02
37.43,-6.33,5.68,5.40E+02
37.52,7.58,5.69,5.60E+02
37.62,47.32,5.7,5.77E+02
37.7,47.32,5.71,5.95E+02
37.72,80.95,5.72,6.13E+02
37.82,105.61,5.73,6.31E+02
37.92,92.48,5.74,6.48E+02
38.02,64.28,5.75,6.63E+02
38.02,64.28,5.76,6.76E+02
38.12,44.2,5.77,6.86E+02
38.22,39.38,5.78,6.93E+02
38.32,33.77,5.79,6.95E+02
38.34,33.77,5.8,6.95E+02
38.42,-0.78,5.81,6.95E+02
38.43,-0.78,5.82,6.95E+02
38.43,-0.78,5.83,6.95E+02
38.52,-14.57,5.84,6.95E+02
38.62,-1.76,5.85,6.95E+02
38.66,-1.76,5.86,6.95E+02
38.72,-47.65,5.87,6.50E+02
38.82,-76.28,5.88,5.62E+02
38.92,-92.39,5.89,5.08E+02
38.98,-92.39,5.9,4.95E+02
39.02,-130.11,5.91,4.83E+02
39.12,-146.29,5.92,4.74E+02
39.22,-122.91,5.93,4.65E+02
39.3,-122.91,5.94,4.58E+02
39.32,-79.58,5.95,4.53E+02
39.42,-42.53,5.96,4.48E+02
39.43,-42.53,5.97,4.45E+02
39.43,-42.53,5.98,4.43E+02
39.52,-3.89,5.99,4.43E+02
39.62,13.32,6,4.43E+02
39.62,13.32,6.01,4.44E+02
39.72,8.62,6.02,4.45E+02
39.82,-1.02,6.03,4.46E+02
,,6.05,4.48E+02
,,6.06,4.49E+02
,,6.07,4.50E+02
,,6.08,4.51E+02
,,6.09,4.51E+02
,,6.1,4.51E+02
,,6.11,4.51E+02
,,6.12,4.51E+02
,,6.13,4.51E+02
,,6.14,4.51E+02
,,6.15,4.51E+02
,,6.16,4.51E+02
,,6.17,4.51E+02
,,6.18,4.51E+02
,,6.19,4.28E+02
,,6.2,4.28E+02
,,6.21,4.28E+02
,,6.22,4.28E+02
,,6.23,4.28E+02
,,6.24,4.28E+02
,,6.25,4.28E+02
,,6.26,4.28E+02
,,6.27,4.28E+02
,,6.28,3.86E+02
,,6.29,3.28E+02
,,6.3,2.98E+02
,,6.31,2.71E+02
,,6.32,2.46E+02
,,6.33,2.24E+02
,,6.34,2.04E+02
,,6.35,1.86E+02
,,6.36,1.70E+02
,,6.37,1.55E+02
,,6.38,1.43E+02
,,6.39,1.31E+02
,,6.4,1.21E+02
,,6.41,1.10E+02
,,6.42,99.94385611
,,6.43,90.34322231
,,6.44,81.56974159
,,6.45,73.86028154
,,6.46,67.45170976
,,6.47,62.58089385
,,6.48,59.48470139
,,6.49,58.4
,,6.5,58.4
,,6.51,56.40995763
,,6.52,50.86670355
,,6.53,42.41054733
,,6.54,31.68179851
,,6.55,19.32076666
,,6.56,5.967761326
,,6.57,-7.736907933
,,6.58,-21.15293156
,,6.59,-33.64
,,6.6,-47.14305501
,,6.61,-63.38123754
,,6.62,-81.37553686
,,6.63,-1.00E+02
,,6.64,-1.19E+02
,,6.65,-1.36E+02
,,6.66,-1.51E+02
,,6.67,-1.63E+02
,,6.68,-1.71E+02
,,6.69,-1.74E+02
,,6.7,-1.73E+02
,,6.71,-1.69E+02
,,6.72,-1.63E+02
,,6.73,-1.56E+02
,,6.74,-1.48E+02
,,6.75,-1.40E+02
,,6.76,-1.33E+02
,,6.77,-1.27E+02
,,6.78,-1.23E+02
,,6.79,-1.21E+02
,,6.8,-1.21E+02
,,6.81,-1.21E+02
,,6.82,-1.21E+02
,,6.83,-1.20E+02
,,6.84,-1.18E+02
,,6.85,-1.15E+02
,,6.86,-1.12E+02
,,6.87,-1.09E+02
,,6.88,-1.06E+02
,,6.89,-1.05E+02
,,6.9,-1.06E+02
,,6.91,-1.07E+02
,,6.92,-1.09E+02
,,6.93,-1.12E+02
,,6.94,-1.15E+02
,,6.95,-1.18E+02
,,6.96,-1.21E+02
,,6.97,-1.25E+02
,,6.98,-1.28E+02
,,6.99,-1.31E+02
,,7,-1.35E+02
,,7.01,-1.39E+02
,,7.02,-1.43E+02
,,7.03,-1.48E+02
,,7.04,-1.53E+02
,,7.05,-1.57E+02
,,7.06,-1.61E+02
,,7.07,-1.64E+02
,,7.08,-1.66E+02
,,7.09,-1.67E+02
,,7.1,-1.67E+02
,,7.11,-1.67E+02
,,7.12,-1.67E+02
,,7.13,-1.67E+02
,,7.14,-1.67E+02
,,7.15,-1.74E+02
,,7.16,-1.92E+02
,,7.17,-2.13E+02
,,7.18,-2.31E+02
,,7.19,-2.38E+02
,,7.2,-2.38E+02
,,7.21,-2.38E+02
,,7.22,-2.38E+02
,,7.23,-2.38E+02
,,7.24,-2.38E+02
,,7.25,-2.38E+02
,,7.26,-2.38E+02
,,7.27,-2.57E+02
,,7.28,-2.93E+02
,,7.29,-3.12E+02
,,7.3,-3.11E+02
,,7.31,-3.09E+02
,,7.32,-3.05E+02
,,7.33,-3.00E+02
,,7.34,-2.95E+02
,,7.35,-2.90E+02
,,7.36,-2.86E+02
,,7.37,-2.82E+02
,,7.38,-2.79E+02
,,7.39,-2.78E+02
,,7.4,-2.78E+02
,,7.41,-2.78E+02
,,7.42,-2.78E+02
,,7.43,-2.78E+02
,,7.44,-2.78E+02
,,7.45,-2.78E+02
,,7.46,-2.78E+02
,,7.47,-2.78E+02
,,7.48,-2.78E+02
,,7.49,-2.78E+02
,,7.5,-2.77E+02
,,7.51,-2.75E+02
,,7.52,-2.71E+02
,,7.53,-2.66E+02
,,7.54,-2.60E+02
,,7.55,-2.53E+02
,,7.56,-2.47E+02
,,7.57,-2.40E+02
,,7.58,-2.33E+02
,,7.59,-2.28E+02
,,7.6,-2.21E+02
,,7.61,-2.14E+02
,,7.62,-2.06E+02
,,7.63,-1.98E+02
,,7.64,-1.90E+02
,,7.65,-1.83E+02
,,7.66,-1.76E+02
,,7.67,-1.71E+02
,,7.68,-1.68E+02
,,7.69,-1.67E+02
,,7.7,-1.67E+02
,,7.71,-1.67E+02
,,7.72,-1.67E+02
,,7.73,-1.67E+02
,,7.74,-1.67E+02
,,7.75,-1.67E+02
,,7.76,-1.67E+02
,,7.77,-1.67E+02
,,7.78,-1.67E+02
,,7.79,-49.08
,,7.8,-25.39176554
,,7.81,-5.889018378
,,7.82,9.938779676
,,7.83,22.60216683
,,7.84,32.61168127
,,7.85,40.47786122
,,7.86,46.71124486
,,7.87,51.82237041
,,7.88,56.32177605
,,7.89,60.72
,,7.9,65.17574812
,,7.91,69.46056
,,7.92,73.50422438
,,7.93,77.23653
,,7.94,80.58726563
,,7.95,83.48622
,,7.96,85.86318188
,,7.97,87.64794
,,7.98,88.77028313
,,7.99,89.16
,,8,85.87028
,,8.01,76.94104
,,8.02,63.78216
,,8.03,47.80352
,,8.04,30.415
,,8.05,13.02648
,,8.06,-2.95216
,,8.07,-16.11104
,,8.08,-25.04028
,,8.09,-28.33
,,8.1,-28.33
,,8.11,-29.87252401
,,8.12,-34.00648834
,,8.13,-39.99148148
,,8.14,-47.08709191
,,8.15,-54.55290809
,,8.16,-61.64851852
,,8.17,-67.63351166
,,8.18,-71.76747599
,,8.19,-73.31
,,8.2,-73.31
,,8.21,-73.31
,,8.22,-73.31
,,8.23,-73.31
,,8.24,-73.31
,,8.25,-73.31
,,8.26,-73.31
,,8.27,-78.73699563
,,8.28,-88.92621349
,,8.29,-94.74
,,8.3,-95.27995092
,,8.31,-95.74263849
,,8.32,-96.13287389
,,8.33,-96.4554683
,,8.34,-96.7152329
,,8.35,-96.91697887
,,8.36,-97.06551738
,,8.37,-97.16565962
,,8.38,-97.22221677
,,8.39,-97.24
,,8.4,-97.24
,,8.41,-97.24
,,8.42,-97.24
,,8.43,-97.01896818
,,8.44,-96.42186673
,,8.45,-95.54768665
,,8.46,-94.49541894
,,8.47,-93.36405459
,,8.48,-92.25258461
,,8.49,-91.26
,,8.5,-90.26264261
,,8.51,-89.1114945
,,8.52,-87.86750696
,,8.53,-86.59163131
,,8.54,-85.34481884
,,8.55,-84.18802087
,,8.56,-83.1821887
,,8.57,-82.38827362
,,8.58,-81.86722696
,,8.59,-81.68
,,8.6,-82.04904
,,8.61,-83.05072
,,8.62,-84.52688
,,8.63,-86.31936
,,8.64,-88.27
,,8.65,-90.22064
,,8.66,-92.01312
,,8.67,-93.48928
,,8.68,-94.49096
,,8.69,-94.86
,,8.7,-94.86
,,8.71,-94.86
,,8.72,-94.86
,,8.73,-94.86
,,8.74,-94.86
,,8.75,-93.38926221
,,8.76,-89.57378662
,,8.77,-84.30867993
,,8.78,-78.48904882
,,8.79,-73.01
,,8.8,-67.4049245
,,8.81,-60.82484249
,,8.82,-53.59130438
,,8.83,-46.02586055
,,8.84,-38.45006142
,,8.85,-31.18545737
,,8.86,-24.55359881
,,8.87,-18.87603613
,,8.88,-14.47431973
,,8.89,-11.67
,,8.9,-9.817825283
,,8.91,-8.07207946
,,8.92,-6.453616255
,,8.93,-4.983289392
,,8.94,-3.681952597
,,8.95,-2.570459595
,,8.96,-1.669664109
,,8.97,-1.000419865
,,8.98,-0.583580587
,,8.99,-0.44
,,9,-0.44
,,9.01,-0.44
,,9.02,-0.44
,,9.03,-0.44
,,9.04,-0.44
,,9.05,-0.44
,,9.06,-0.44
,,9.07,-3.970257764
,,9.08,-11.01384886
,,9.09,-16.25
,,9.1,-18.73454045
,,9.11,-21.05515528
,,9.12,-23.18885489
,,9.13,-25.11264969
,,9.14,-26.80355008
,,9.15,-28.23856646
,,9.16,-29.39470924
,,9.17,-30.24898882
,,9.18,-30.77841561
,,9.19,-30.96
,,9.2,-30.96
,,9.21,-30.96
,,9.22,-30.96
,,9.23,-30.96
,,9.24,-30.96
,,9.25,-30.96
,,9.26,-30.96
,,9.27,-37.65148148
,,9.28,-50.07851852
,,9.29,-56.77
,,9.3,-56.77
,,9.31,-56.77
,,9.32,-56.77
,,9.33,-56.77
,,9.34,-56.77
,,9.35,-56.77
,,9.36,-56.77
,,9.37,-56.77
,,9.38,-56.77
,,9.39,-84.3
,,9.4,-88.53254777
,,9.41,-91.79165857
,,9.42,-94.25240895
,,9.43,-96.08987545
,,9.44,-97.47913463
,,9.45,-98.59526304
,,9.46,-99.61333723
,,9.47,-1.01E+02
,,9.48,-1.02E+02
,,9.49,-1.04E+02
,,9.5,-1.06E+02
,,9.51,-1.08E+02
,,9.52,-1.10E+02
,,9.53,-1.13E+02
,,9.54,-1.15E+02
,,9.55,-1.17E+02
,,9.56,-1.19E+02
,,9.57,-1.21E+02
,,9.58,-1.23E+02
,,9.59,-1.25E+02
,,9.6,-1.27E+02
,,9.61,-1.30E+02
,,9.62,-1.32E+02
,,9.63,-1.34E+02
,,9.64,-1.36E+02
,,9.65,-1.38E+02
,,9.66,-1.40E+02
,,9.67,-1.41E+02
,,9.68,-1.42E+02
,,9.69,-1.42E+02
,,9.7,-1.42E+02
,,9.71,-1.43E+02
,,9.72,-1.43E+02
,,9.73,-1.45E+02
,,9.74,-1.46E+02
,,9.75,-1.47E+02
,,9.76,-1.49E+02
,,9.77,-1.51E+02
,,9.78,-1.52E+02
,,9.79,-1.53E+02
,,9.8,-1.54E+02
,,9.81,-1.55E+02
,,9.82,-1.56E+02
,,9.83,-1.57E+02
,,9.84,-1.58E+02
,,9.85,-1.59E+02
,,9.86,-1.60E+02
,,9.87,-1.61E+02
,,9.88,-1.62E+02
,,9.89,-1.62E+02
,,9.9,-1.63E+02
,,9.91,-1.64E+02
,,9.92,-1.65E+02
,,9.93,-1.66E+02
,,9.94,-1.67E+02
,,9.95,-1.67E+02
,,9.96,-1.68E+02
,,9.97,-1.68E+02
,,9.98,-1.69E+02
,,9.99,-1.69E+02
,,10,-1.69E+02
,,10.01,-1.69E+02
,,10.02,-1.69E+02
,,10.03,-1.69E+02
,,10.04,-1.70E+02
,,10.05,-1.72E+02
,,10.06,-1.74E+02
,,10.07,-1.77E+02
,,10.08,-1.79E+02
,,10.09,-1.81E+02
,,10.1,-1.84E+02
,,10.11,-1.87E+02
,,10.12,-1.90E+02
,,10.13,-1.93E+02
,,10.14,-1.96E+02
,,10.15,-1.99E+02
,,10.16,-2.02E+02
,,10.17,-2.04E+02
,,10.18,-2.06E+02
,,10.19,-2.06E+02
,,10.2,-2.06E+02
,,10.21,-2.06E+02
,,10.22,-2.06E+02
,,10.23,-2.06E+02
,,10.24,-2.06E+02
,,10.25,-2.06E+02
,,10.26,-2.06E+02
,,10.27,-2.14E+02
,,10.28,-2.29E+02
,,10.29,-2.37E+02
,,10.3,-2.37E+02
,,10.31,-2.37E+02
,,10.32,-2.37E+02
,,10.33,-2.37E+02
,,10.34,-2.37E+02
,,10.35,-2.40E+02
,,10.36,-2.46E+02
,,10.37,-2.53E+02
,,10.38,-2.60E+02
,,10.39,-2.65E+02
,,10.4,-2.67E+02
,,10.41,-2.70E+02
,,10.42,-2.72E+02
,,10.43,-2.74E+02
,,10.44,-2.76E+02
,,10.45,-2.78E+02
,,10.46,-2.79E+02
,,10.47,-2.80E+02
,,10.48,-2.81E+02
,,10.49,-2.81E+02
,,10.5,-2.80E+02
,,10.51,-2.78E+02
,,10.52,-2.75E+02
,,10.53,-2.71E+02
,,10.54,-2.67E+02
,,10.55,-2.63E+02
,,10.56,-2.60E+02
,,10.57,-2.56E+02
,,10.58,-2.54E+02
,,10.59,-2.54E+02
,,10.6,-2.54E+02
,,10.61,-2.54E+02
,,10.62,-2.54E+02
,,10.63,-2.54E+02
,,10.64,-2.54E+02
,,10.65,-2.54E+02
,,10.66,-2.54E+02
,,10.67,-2.42E+02
,,10.68,-2.18E+02
,,10.69,-2.00E+02
,,10.7,-1.90E+02
,,10.71,-1.82E+02
,,10.72,-1.75E+02
,,10.73,-1.68E+02
,,10.74,-1.63E+02
,,10.75,-1.57E+02
,,10.76,-1.52E+02
,,10.77,-1.47E+02
,,10.78,-1.41E+02
,,10.79,-1.34E+02
,,10.8,-1.26E+02
,,10.81,-1.16E+02
,,10.82,-1.06E+02
,,10.83,-95.41266786
,,10.84,-84.94391307
,,10.85,-75.19764524
,,10.86,-66.70049219
,,10.87,-59.97908175
,,10.88,-55.56004174
,,10.89,-53.97
,,10.9,-53.97
,,10.91,-53.97
,,10.92,-53.97
,,10.93,-53.97
,,10.94,-53.97
,,10.95,-53.97
,,10.96,-53.97
,,10.97,-53.97
,,10.98,-53.97
,,10.99,-10.57
,,11,-4.229578412
,,11.01,1.108774854
,,11.02,5.523883622
,,11.03,9.094571711
,,11.04,11.89966294
,,11.05,14.01798114
,,11.06,15.52835012
,,11.07,16.50959371
,,11.08,17.04053573
,,11.09,17.2
,,11.1,16.74192
,,11.11,15.49856
,,11.12,13.66624
,,11.13,11.44128
,,11.14,9.02
,,11.15,6.59872
,,11.16,4.37376
,,11.17,2.54144
,,11.18,1.29808
,,11.19,0.84
,,11.2,0.84
,,11.21,0.84
,,11.22,0.84
,,11.23,0.84
,,11.24,0.84
,,11.25,0.84
,,11.26,0.84
,,11.27,-7.386296296
,,11.28,-22.6637037
,,11.29,-30.89
,,11.3,-30.89
,,11.31,-31.59309521
,,11.32,-33.56299372
,,11.33,-36.59061487
,,11.34,-40.46687799
,,11.35,-44.98270243
,,11.36,-49.92900751
,,11.37,-55.09671258
,,11.38,-60.27673696
,,11.39,-65.26
,,11.4,-70.91559416
,,11.41,-77.95772158
,,11.42,-85.94496611
,,11.43,-94.4359116
,,11.44,-1.03E+02
,,11.45,-1.11E+02
,,11.46,-1.19E+02
,,11.47,-1.25E+02
,,11.48,-1.29E+02
,,11.49,-1.31E+02
,,11.5,-1.32E+02
,,11.51,-1.33E+02
,,11.52,-1.34E+02
,,11.53,-1.35E+02
,,11.54,-1.35E+02
,,11.55,-1.36E+02
,,11.56,-1.36E+02
,,11.57,-1.37E+02
,,11.58,-1.37E+02
,,11.59,-1.37E+02
,,11.6,-1.37E+02
,,11.61,-1.37E+02
,,11.62,-1.37E+02
,,11.63,-1.36E+02
,,11.64,-1.34E+02
,,11.65,-1.32E+02
,,11.66,-1.28E+02
,,11.67,-1.24E+02
,,11.68,-1.20E+02
,,11.69,-1.16E+02
,,11.7,-1.10E+02
,,11.71,-1.02E+02
,,11.72,-91.97023143
,,11.73,-81.06723014
,,11.74,-69.60085872
,,11.75,-58.14601859
,,11.76,-47.27761122
,,11.77,-37.57053803
,,11.78,-29.59970048
,,11.79,-23.94
,,11.8,-19.65727652
,,11.81,-15.4872024
,,11.82,-11.50942776
,,11.83,-7.803602704
,,11.84,-4.449377347
,,11.85,-1.526401803
,,11.86,0.885673817
,,11.87,2.707199399
,,11.88,3.858524831
,,11.89,4.26
,,11.9,4.26
,,11.91,4.26
,,11.92,4.26
,,11.93,4.26
,,11.94,4.26
,,11.95,5.259010944
,,11.96,7.877032832
,,11.97,11.54554925
,,11.98,15.69604378
,,11.99,19.76
,,12,24.26838159
,,12.01,29.90137732
,,12.02,36.31430843
,,12.03,43.16249613
,,12.04,50.10126167
,,12.05,56.78592628
,,12.06,62.87181118
,,12.07,68.01423762
,,12.08,71.86852681
,,12.09,74.09
,,12.1,75.33999953
,,12.11,76.5027005
,,12.12,77.56767323
,,12.13,78.52448806
,,12.14,79.36271533
,,12.15,80.07192537
,,12.16,80.64168853
,,12.17,81.06157512
,,12.18,81.3211555
,,12.19,81.41
,,12.2,81.41
,,12.21,81.41
,,12.22,81.41
,,12.23,81.41
,,12.24,81.41
,,12.25,81.41
,,12.26,81.41
,,12.27,75.50382239
,,12.28,63.88653367
,,12.29,55.71
,,12.3,52.61928899
,,12.31,50.08854873
,,12.32,48.01326611
,,12.33,46.28892801
,,12.34,44.81102132
,,12.35,43.47503292
,,12.36,42.17644971
,,12.37,40.81075856
,,12.38,39.27344636
,,12.39,37.46
,,12.4,35.24093557
,,12.41,32.65131053
,,12.42,29.83342381
,,12.43,26.92957435
,,12.44,24.08206106
,,12.45,21.4331829
,,12.46,19.12523878
,,12.47,17.30052763
,,12.48,16.1013484
,,12.49,15.67
,,12.5,15.67
,,12.51,15.67
,,12.52,15.67
,,12.53,15.67
,,12.54,15.67
,,12.55,15.67
,,12.56,15.67
,,12.57,15.67
,,12.58,15.67
,,12.59,-3.67
,,12.6,-3.717569863
,,12.61,-3.756525215
,,12.62,-3.787715677
,,12.63,-3.811990867
,,12.64,-3.830200405
,,12.65,-3.843193911
,,12.66,-3.851821004
,,12.67,-3.856931304
,,12.68,-3.859374429
,,12.69,-3.86
,,12.7,-3.097548255
,,12.71,-1.004171572
,,12.72,2.129162218
,,12.73,6.011485284
,,12.74,10.3518298
,,12.75,14.85922793
,,12.76,19.24271184
,,12.77,23.21131371
,,12.78,26.47406571
,,12.79,28.74
,,12.8,30.40757429
,,12.81,32.04620629
,,12.82,33.62136816
,,12.83,35.09853207
,,12.84,36.4431702
,,12.85,37.62075472
,,12.86,38.59675778
,,12.87,39.33665157
,,12.88,39.80590825
,,12.89,39.97
,,12.9,39.97
,,12.91,39.41105722
,,12.92,37.88407066
,,12.93,35.61380293
,,12.94,32.82501669
,,12.95,29.74247456
,,12.96,26.59093919
,,12.97,23.59517322
,,12.98,20.97993928
,,12.99,18.97
,,13,17.29917944
,,13.01,15.58576504
,,13.02,13.88121454
,,13.03,12.23698567
,,13.04,10.70453617
,,13.05,9.33532378
,,13.06,8.18080623
,,13.07,7.29244126
,,13.08,6.721686604
,,13.09,6.52
,,13.1,6.79692
,,13.11,7.54856
,,13.12,8.65624
,,13.13,10.00128
,,13.14,11.465
,,13.15,12.92872
,,13.16,14.27376
,,13.17,15.38144
,,13.18,16.13308
,,13.19,16.41
,,13.2,16.41
,,13.21,16.41
,,13.22,16.41
,,13.23,16.41
,,13.24,16.41
,,13.25,16.41
,,13.26,16.41
,,13.27,13.71736945
,,13.28,8.149183342
,,13.29,3.47
,,13.3,0.682919157
,,13.31,-1.763582964
,,13.32,-3.936883315
,,13.33,-5.904358845
,,13.34,-7.733386505
,,13.35,-9.491343244
,,13.36,-11.24560601
,,13.37,-13.06355176
,,13.38,-15.01255744
,,13.39,-17.16
,,13.4,-19.70386719
,,13.41,-22.68631358
,,13.42,-25.94096637
,,13.43,-29.30145277
,,13.44,-32.60139998
,,13.45,-35.67443518
,,13.46,-38.35418559
,,13.47,-40.47427839
,,13.48,-41.8683408
,,13.49,-42.37
,,13.5,-42.37
,,13.51,-42.37
,,13.52,-42.37
,,13.53,-42.37
,,13.54,-42.37
,,13.55,-44.65577142
,,13.56,-50.29891426
,,13.57,-57.47817138
,,13.58,-64.37228567
,,13.59,-69.16
,,13.6,-72.26917719
,,13.61,-75.30238865
,,13.62,-78.20044009
,,13.63,-80.90413723
,,13.64,-83.35428579
